,Location,Hotel Name
0,"Carlsbad, California",Omni La Costa Resort and Spa
1,"Santa Monica, California",JW Marriott Santa Monica Le Merigot
2,"Sonoma, California",Cinnamon Bear Creekside Inn
3,"Little River, California",The Heritage House Resort & Spa
4,"Carlsbad, California",Park Hyatt Aviara Resort
5,"San Francisco, California",Clift San Francisco
6,"Rancho Mirage, California",The Westin Mission Hills Golf Resort & Spa
7,"Calistoga, California",Luxe Calistoga
8,"Calistoga, California",Mount View Hotel & Spa
9,"Rancho Santa Fe, California",Rancho Valencia
10,"Newark, California",Aloft Silicon Valley
11,"Saint Helena, Napa County, California",Meadowood Napa Valley
12,"San Francisco, California",Hotel Drisco
13,"Huntington Beach, California",Kimpton Shorebreak Hotel
14,"Pismo Beach, California",The Cliffs Resort
15,"Calistoga, Napa County, California",Cottage Grove Inn
16,"Palm Desert, California",Embarc Palm Desert
17,"Santa Barbara, California",Montecito Inn
18,"San Diego, California",Kona Kai Resort and Spa
19,"Indian Wells, CA",Miramonte Resort & Spa
20,"San Francisco, California",Hotel Zeppelin San Francisco
21,"Pasadena, California",The Langham Huntington
22,"Truckee, California","The Ritz-Carlton, Lake Tahoe"
23,"Dana Point, California","The Ritz-Carlton, Laguna Niguel"
24,"Coronado, California",Hotel del Coronado
25,"La Jolla, California",Grande Colonial La Jolla
26,"Beverly Hills, California",The Peninsula Beverly Hills
27,"Los Angeles, California",Kimpton Hotel Palomar Los Angeles Beverly Hills
28,"San Francisco, California",JW Marriott San Francisco Union Square
29,"West Hollywood, California",Sunset Tower Hotel
30,"San Francisco, California","Parc 55 San Francisco, a Hilton Hotel"
31,"Sonoma, California",Inn at Sonoma - A Four Sisters Inn
32,"Goleta, California",Bacara Resort & Spa
33,"Napa, California",Silverado Resort
34,"Los Gatos, California",Hotel Los Gatos
35,"Carmel, California",Mission Ranch Hotel and Restaurant
36,"Borrego Springs, California",La Casa del Zorro Resort and Spa
37,"Anaheim, California",Disney's Grand Californian Hotel
38,"Laguna Beach, California",Casa Laguna Inn & Spa
39,"Newport Beach, California",Island Hotel Newport Beach
40,"Culver City, California",The Culver Hotel
41,"Santa Monica, California",Shutters on the Beach
42,"Saint Helena, Napa County, California",Harvest Inn by Charlie Palmer
43,"Huntington Beach, California",Hyatt Regency Huntington Beach Resort and Spa
44,"San Francisco, California",Le Meridien San Francisco
45,"Yountville, California",Villagio Inn & Spa
46,"Yountville, California",Lavender - A Four Sisters Inn
47,"Napa, California",1801 First
48,"Glen Ellen, California",Gaige House 
49,"Laguna Beach, California",Montage Laguna Beach
50,"Ojai, California",Ojai Valley Inn & Spa
51,"Los Angeles, California",Hotel Bel-Air
52,"Santa Monica, California",Loews Santa Monica Beach Hotel
53,"Laguna Beach, California",Surf & Sand Resort
54,"San Diego, California",The Keating Hotel by Pininfarina
55,"Paso Robles, California",Inn Paradiso
56,"Rutherford, California",Auberge du Soleil
57,"South Lake Tahoe, California",The Landing Resort & Spa
58,"Carmel, California",Carriage House Inn
59,"Temecula, California",Temecula Creek Inn
60,"San Francisco, California",The Scarlet Huntington
61,"Santa Barbara, California",Simpson House Inn
62,"Big Sur, California",Post Ranch Inn
63,"Carmel, California",Carmel Valley Ranch
64,"Hollywood, California",Loews Hollywood Hotel
65,"Los Angeles, California",W Los Angeles - West Beverly Hills
66,"San Diego, California",Manchester Grand Hyatt San Diego
67,"Rancho Santa Fe, California",The Inn at Rancho Santa Fe
68,"Pebble Beach, California",The Lodge at Pebble Beach
69,"Newport Beach, California",The Resort at Pelican Hill
70,"Carmel Valley, California",Stonepine Estate
