,Rank,School,Location
0,85,Soka University of America,Aliso Viejo
1,141,Bethesda University,Anaheim
2,80,Pacific Union College,Angwin
3,34,Humboldt State University,Arcata
4,117,Menlo College,Atherton
5,45,Azusa Pacific University,Azusa
6,62,"California State University, Bakersfield",Bakersfield
7,94,Notre Dame de Namur University,Belmont
8,119,Dominican School of Philosophy & Theology,Berkeley
9,137,The Wright Institute,Berkeley
10,2,"University of California, Berkeley",Berkeley ...
11,86,Woodbury University,Burbank
12,63,California State University Channel Islands,Camarillo
13,106,Pacifica Graduate Institute,Carpinteria ...
14,30,"California State University, Dominguez Hills",Carson
15,130,Phillips Graduate University,Chatsworth ...
16,22,"California State University, Chico",Chico
17,138,United States University,Chula Vista
18,49,Claremont Graduate University,Claremont
19,61,Claremont McKenna College,Claremont
20,33,Harvey Mudd College,Claremont ...
21,84,Keck Graduate Institute,Claremont
22,50,Pitzer College,Claremont
23,36,Pomona College,Claremont
24,78,Scripps College,Claremont
25,135,San Joaquin College of Law,Clovis
26,79,Vanguard University of Southern California,Costa Mesa ...
27,98,Antioch University Los Angeles,Culver City
28,6,"University of California, Davis",Davis ...
29,Un,Irell and Manella Graduate School of Biological Sciences,Duarte
30,139,John Paul the Great Catholic University,Escondido
31,28,"California State University, Fresno",Fresno
32,68,Fresno Pacific University,Fresno
33,17,"California State University, Fullerton",Fullerton ...
34,105,Hope International University,Fullerton
35,126,Marshall B. Ketchum University,Fullerton ...
36,123,Western State College of Law at Argosy University,Fullerton
37,44,"California State University, East Bay",Hayward ...
38,131,The University of West Los Angeles,Inglewood
39,83,Brandman University,Irvine
40,75,Concordia University Irvine,Irvine
41,7,"University of California, Irvine",Irvine ...
42,53,National University,La Jolla
43,38,Biola University,La Mirada
44,72,University of La Verne,La Verne ...
45,132,Laguna College of Art and Design,Laguna Beach
46,46,Loma Linda University,Loma Linda
47,19,"California State University, Long Beach",Long Beach
48,136,Touro University Worldwide,Los Alamitos
49,Un,American Film Institute Conservatory,Los Angeles
50,100,American Jewish University,Los Angeles ...
51,24,"California State University, Los Angeles",Los Angeles
52,90,Charles R. Drew University of Medicine and Science,Los Angeles
53,32,Loyola Marymount University,Los Angeles
54,120,Mount Saint Mary's University,Los Angeles
55,43,Occidental College,Los Angeles
56,67,Otis College of Art and Design,Los Angeles
57,76,Southern California Institute of Architecture,Los Angeles
58,88,Southwestern Law School,Los Angeles
59,89,The Chicago School of Professional Psychology,Los Angeles ...
60,3,"University of California, Los Angeles",Los Angeles ...
61,4,University of Southern California,Los Angeles
62,29,Pepperdine University,Malibu ...
63,37,"University of California, Merced",Merced ...
64,51,Naval Postgraduate School,Monterey
65,54,Saint Mary's College of California,Moraga
66,112,West Coast University-Los Angeles,North Hollywood
67,14,"California State University, Northridge",Northridge
68,93,Holy Names University,Oakland
